"Boss","Zone","Tier","TierName","Difficulty","CustomClimax","DesignSummary","IntendedBuild","TargetClearTime","Level","HP_1PC","HP_2PC","HP_3PlusPC","PopCostHuntMarks","BaseInfamy","BaseGil","BaseCruor","ATT_Add","DEF_Add","MATT_Add","ACC_Add","EVA_Add","MACC_Add","MEVA_Add","WeaponDMG_Add","DoubleAttackPct_Add","HastePct_Add","AllElementMEVA_Add","FirstSignatureSec","RepeatIntervalSec","PressureStartsSec","PressureStepSec","RepeatTitle","RepeatType","RepeatTell","RepeatCounter","RepeatWindowSec","RepeatFailDamagePctMaxHP","RepeatFailStatus","RepeatStatusDurationSec","RepeatFailMessage","RepeatSuccessMessage","RepeatSuccessReward","Phase70Title","Phase70Type","Phase70Tell","Phase70Counter","Phase70WindowSec","Phase70FailDamagePctMaxHP","Phase70FailStatus","Phase70StatusDurationSec","Phase70FailMessage","Phase70SuccessMessage","Phase70SuccessReward","Phase30Title","Phase30Type","Phase30Tell","Phase30Counter","Phase30WindowSec","Phase30FailDamagePctMaxHP","Phase30FailStatus","Phase30StatusDurationSec","Phase30FailMessage","Phase30SuccessMessage","Phase30SuccessReward","FailEscalationPerStack","PressurePerStack","OwnerRule","ProcRules","RewardRules","SourceKey"
"Arimaspi","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Clouded Lens","turn","Clouded Lens - its eye clouds over; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","POISON","6","The lens sears your sight.","The lens cracks and Arimaspi reels.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Clouded Lens","turn","At 70%: Clouded Lens - its eye clouds over; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","POISON","6","The lens sears your sight.","The lens cracks and Arimaspi reels.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Clouded Lens","turn","Final test at 30%: Clouded Lens - its eye clouds over; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","4","25","POISON","6","The lens sears your sight.","The lens cracks and Arimaspi reels.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","arimaspi"
"Bloodguzzler","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Crimson Thirst","highhp","Crimson Thirst - it scents weakness; recover above 70% HP!","Heal the fight owner to at least 70% HP.","5","20","PARALYSIS","6","Bloodguzzler drinks deeply.","Your vitality denies the feeding frenzy.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Crimson Thirst","highhp","At 70%: Crimson Thirst - it scents weakness; recover above 70% HP!","Heal the fight owner to at least 70% HP.","5","20","PARALYSIS","6","Bloodguzzler drinks deeply.","Your vitality denies the feeding frenzy.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Crimson Thirst","highhp","Final test at 30%: Crimson Thirst - it scents weakness; recover above 70% HP!","Heal the fight owner to at least 70% HP.","4","25","PARALYSIS","6","Bloodguzzler drinks deeply.","Your vitality denies the feeding frenzy.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","bloodguzzler"
"Clingy Clare","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Grasping Vines","move","Grasping Vines - roots seize the earth; move at least 8 yalms!","Move at least 8 yalms from the position where the tell began.","5","20","BLINDNESS","6","The vines constrict around you.","The vines tear loose.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Grasping Vines","move","At 70%: Grasping Vines - roots seize the earth; move at least 8 yalms!","Move at least 8 yalms from the position where the tell began.","5","20","BLINDNESS","6","The vines constrict around you.","The vines tear loose.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Grasping Vines","move","Final test at 30%: Grasping Vines - roots seize the earth; move at least 8 yalms!","Move at least 8 yalms from the position where the tell began.","4","25","BLINDNESS","6","The vines constrict around you.","The vines tear loose.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","clingyclare"
"Hexenpilz","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Oblivispore Bloom","far","Oblivispore Bloom - the cap swells; retreat beyond 12 yalms!","Move at least 12 yalms from the boss.","5","20","SLOW","6","You inhale the oblivious spores.","The spores disperse harmlessly.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Oblivispore Bloom","far","At 70%: Oblivispore Bloom - the cap swells; retreat beyond 12 yalms!","Move at least 12 yalms from the boss.","5","20","SLOW","6","You inhale the oblivious spores.","The spores disperse harmlessly.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Oblivispore Bloom","far","Final test at 30%: Oblivispore Bloom - the cap swells; retreat beyond 12 yalms!","Move at least 12 yalms from the boss.","4","25","SLOW","6","You inhale the oblivious spores.","The spores disperse harmlessly.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","hexenpilz"
"Bombadeel","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Volatile Moss","hold","Volatile Moss - the moss sparks; cease attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","SILENCE","6","Your strike detonates the moss.","The moss burns itself out.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Volatile Moss","hold","At 70%: Volatile Moss - the moss sparks; cease attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","SILENCE","6","Your strike detonates the moss.","The moss burns itself out.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Volatile Moss","hold","Final test at 30%: Volatile Moss - the moss sparks; cease attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","4","25","SILENCE","6","Your strike detonates the moss.","The moss burns itself out.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","bombadeel"
"Ashtaerh the Gallvexed","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Murmuring Globule","weaponskill","Murmuring Globule - the globule hums; answer with a weapon skill!","The fight owner must use any weapon skill during the window.","5","20","PLAGUE","6","The murmur becomes a maddening shriek.","The resonance bursts inward.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Murmuring Globule","weaponskill","At 70%: Murmuring Globule - the globule hums; answer with a weapon skill!","The fight owner must use any weapon skill during the window.","5","20","PLAGUE","6","The murmur becomes a maddening shriek.","The resonance bursts inward.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Murmuring Globule","weaponskill","Final test at 30%: Murmuring Globule - the globule hums; answer with a weapon skill!","The fight owner must use any weapon skill during the window.","4","25","PLAGUE","6","The murmur becomes a maddening shriek.","The resonance bursts inward.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","ashtaerhthegallvexed"
"Alkonost","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Gale Dive","rear","Gale Dive - its wings lock forward; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","AMNESIA","6","The gale catches you head-on.","The dive overshoots.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Gale Dive","rear","At 70%: Gale Dive - its wings lock forward; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","AMNESIA","6","The gale catches you head-on.","The dive overshoots.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Gale Dive","rear","Final test at 30%: Gale Dive - its wings lock forward; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","4","25","AMNESIA","6","The gale catches you head-on.","The dive overshoots.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","alkonost"
"Keratyrannos","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Armored Rush","near","Armored Rush - it lowers its horn; close inside 6 yalms!","Move within 6 yalms of the boss.","5","20","POISON","6","The full charge tramples you.","You slip beneath the charge.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Armored Rush","near","At 70%: Armored Rush - it lowers its horn; close inside 6 yalms!","Move within 6 yalms of the boss.","5","20","POISON","6","The full charge tramples you.","You slip beneath the charge.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Armored Rush","near","Final test at 30%: Armored Rush - it lowers its horn; close inside 6 yalms!","Move within 6 yalms of the boss.","4","25","POISON","6","The full charge tramples you.","You slip beneath the charge.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","keratyrannos"
"Fear Gorta","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Moonglow Lament","face","Moonglow Lament - its lament seeks the fearful; face it!","Face the boss when the check resolves.","5","20","PARALYSIS","6","Fear takes root.","You stare down the apparition.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Moonglow Lament","face","At 70%: Moonglow Lament - its lament seeks the fearful; face it!","Face the boss when the check resolves.","5","20","PARALYSIS","6","Fear takes root.","You stare down the apparition.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Moonglow Lament","face","Final test at 30%: Moonglow Lament - its lament seeks the fearful; face it!","Face the boss when the check resolves.","4","25","PARALYSIS","6","Fear takes root.","You stare down the apparition.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","feargorta"
"Siranpa-Kamuy","Abyssea - Konschtat","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Rotting Gaze","turn","Rotting Gaze - the eyeball opens; look away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","BLINDNESS","6","The dead eye marks you.","The gaze passes over you.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Rotting Gaze","turn","At 70%: Rotting Gaze - the eyeball opens; look away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","BLINDNESS","6","The dead eye marks you.","The gaze passes over you.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Rotting Gaze","turn","Final test at 30%: Rotting Gaze - the eyeball opens; look away!","Turn away; the owner must not be facing the boss when the check resolves.","4","25","BLINDNESS","6","The dead eye marks you.","The gaze passes over you.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","siranpakamuy"
