ID,Owner,Area,Task,Notes / examples
1,Jbae,BST,"BST affinity so pets become ilvl 119","Player-facing: affinity path should raise jug pets to 119"
2,Eren,BST,"Spalirisos not granting Pet Level +3","Prime BST axe; Pet Lv+3 still missing (likely C++ / item mod)"
3,Jbae,PUP,"PUP adjustments — review Katryna's Discord post","Use Katryna's post as the source list for changes"
4,Eren,GM / Ops,"GM commands & permissions overhaul","T1 (Sivart / Jamesta): simple player-help only. T5 (Eren / Jbae): full. Reduce abuse surface"
5,Eren,GM / Ops,"Audit permission-0 commands","Example: !primevoucher was permission 0 — sweep all ! commands"
6,Eren,BST,"BST pet abilities & damage audit vs expected player DPS","Example: Fireball ~430k with Warlike Patrick vs Bertha ~14k — retune outliers"
7,Eren,Weaponskills,"Cataclysm still unusable except MNK / PLD","Job access / equip eligibility bug"
8,Eren,REMA / Ranged,"Apex Arrow capped at 79,999 with Fail-Not","Aeonic bow — should break standard 80k band"
9,Eren,REMA / Ranged,"Trueflight capped at 99,999 with 119-3 Gastraphetes","Mythic crossbow magical WS"
10,Eren,REMA / Ranged,"Last Stand capped at 79,999 with Fomalhaut; Trueflight & Wildfire do 99,999 on Fomalhaut","Inconsistent Aeonic gun ceilings"
11,Eren,REMA / Ranged,"Wildfire capped at 99,999 with 119-3 Armageddon","Mythic gun"
12,Eren,REMA / Ranged,"Leaden Salute capped at 99,999 with 119-3 Death Penalty","Mythic gun"
13,Eren,Prime,"Lorg Mor stage 2 has Dagda + breaks dmg cap + aftermath; completed form does not","Stage 2 stronger / more complete than final — invert/fix wiring"
14,Eren,Prime,"Helheim does not grant Fimbulvetr at all","Prime great sword native WS missing"
15,Eren,Aeonic / Club,"Tishtrya uses Black Halo (Ambuscade) instead of Realmrazer; Black Halo also gives Aeonic AM","Wrong WS link + wrong aftermath path"
16,Eren,REMA / Staff,"Idris Exudation capped at 79,999","GEO mythic nuke WS"
17,Eren,Relic,"Gierskogul (Gungnir / DRG) still broken","Relic polearm WS"
18,Eren,Prime / Mythic,"Opashoro Oshala averaging less damage than Garland of Bliss (Nirvana)","Prime staff should beat mythic pinnacle, not lose to it"
19,Eren,REMA / RUN,"Dimidiation with Epeolatry capped at 79,999","RUN mythic WS"
20,Eren,Prime,"No Dokoku variant grants katana Prime WS (Zesho Meppo)","ADDS_WEAPONSKILL / stage wiring"
21,Eren,Economy,"Pluton drop rate — verify if already updated","Confirm live % vs intended (Divergence etc.)"
22,Eren,Voidwatch,"Check Voidwatch drops","Loot tables / rates audit"
23,Eren,Voidwatch,"Voidwatch NM scaling","Difficulty / level / HP / damage pass"
24,Eren,Voidwatch,"Earring +2 drop rates on Ashen / Hyacinth / Amber","Target: Ashen 5%, Hyacinth 10%, Amber 20%"
25,Eren,Reforge,"Weapon reforge mark costs too high / grindy","Current steps 10k/15k/20k/24k/30k — Seiryu spam feels best; make path more fun"
26,Eren,Aeonic,"Re-check Aeonic forge path — reported not working","Malformed → Attestation/Silt path vs site confusion with Prime"
27,Eren,Prime,"Check Prime weapon unlocks / content gates","Armory / trials / forge access"
28,Eren,Content,"Maat needs scaling","Infamy / Maat fight difficulty"
29,Eren,Content,"Master trial needs scaling","Difficulty pass"
30,Jbae,Crafting,"Crafting rework","All-craft zone; crafts to 110; faster skillups (x2 retail, procs 0.2/0.4/0.6); materials buyable from NPC"
31,Jbae,Economy,"Design gil sink / economy fix","High-level economy pass — propose + implement plan"
32,Eren,Geas Fete,"Why is there a time limit on Geas Fete? Consider removing","Easier trust/gear farming if unlimited"
33,Eren,SMN,"SMN pets must break 79,999 by weapon tier","Targets: Ambu 99,999; REMA up to 999k (Relic weakest → Empy/Mythic → Aeonic best); Prime 1,499,999"
34,Eren,Forge,"Beitetsu cost triple for Mythic vs Empy?","Confirm intentional; adjust if not"
35,Eren,HTBF,"Warp to HTBF broken after final trial","Post-clear warp / access bug"
36,Eren,Hunting League,"T5 hunts: ~75% HP loss + buff strip at 50% HP — intended?","Confirm design vs bug; document or fix"
37,Eren,Augments,"Augment Catalyst error on already-augmented items","'Item was augmented, but a follow-up action failed…' — false positive / bad confirm path"
38,Eren,Vendors,"Remove home-nation moogles selling gear / crafting equipment","Starter vendor cleanup"
39,Eren,Fellow,"Healer Fellow MP struggles on long fights","Consider Apururu UC-style % MP return on cures; less Cure VI spam"
40,Jbae,Trusts,"Fix Matsui-P","Summon/crash — Exc_S overlay + safe kit already in flight; verify live"
41,Eren,Content,"Shedu too difficult","Difficulty / kit / HP pass"
42,Jbae,Dungeons,"Dungeons — scaling / setup / content pass","Full dungeon audit"
43,Jbae,Client / DATs,"DATs — Relic weapons","Client DAT work for relic weapons"
44,Jbae,Rewards,"Legendary Ring to all players' delivery box on first 2.0 login if they played 1.0","Eligibility = 1.0 play history"
45,Jbae,Website,"Website progression paths","Docs/site: Aeonic / Prime / forge paths accurate vs live"
46,Eren,Hunting League,"Hunt Marks slight rework — more marks from Hunt NMs","Tune mark yields up for hunt NMs"
47,Eren,Fellow,"Fellow AoE while leveling: tiny main-target hit (~30) but ~8k on secondary targets","AoE damage split / scaling bug"
48,Jbae,Discord / Ops,"Rescue command works from Discord for 2.0","Confirm bot/ops path against relaunch instance"
